part_number,type,description,value,group,subgroup,temp_range_low,temp_range_high,manufacturer,manufacturer_part_number,digikey_part_number,supplier2,supplier2_part_number,supplier3,supplier3_part_number,aec_q,library_ref,library_path,footprint_ref,footprint_path,footprint2_ref,footprint2_path,footprint3_ref,footprint3_path
1016001-00-A,IC,IC GATE DRVR HIGH-SIDE 10VSSOP,LM5060-Q1,Power,Protection,-40C,125C,TI,LM5060Q1MMX/NOPB,296-37381-1-ND,,,,,YES,LM5060Q1MM_NOPB,symbols/integrated_circuits/power/LM5060Q1MM_NOPB.SchLib,VSSOP-10N,footprints/sop/VSSOP-10N.PcbLib,,,,
1016002-00-A,IC,IC GATE AND 4CH 2-INP 14TSSOP,SN74AC08,Logic,74xx,-40C,125C,TI,SN74AC08QPWRQ1,296-38214-1-ND,,,,,YES,74xx08,symbols/integrated_circuits/logic/74xx/74xx08.SchLib,SO 14,footprints/soic/SO 14.PcbLib,TSSOP-14,footprints/tssop/TSSOP-14.PcbLib,,
1016003-00-A,IC,IC GATE AND 2CH 4-INP 14TSSOP,SN74HC21,Logic,74xx,-40C,125C,TI,SN74HC21QPWRG4Q1,296-24429-1-ND,,,,,YES,74xx21,symbols/integrated_circuits/logic/74xx/74xx21.SchLib,SO 14,footprints/soic/SO 14.PcbLib,TSSOP-14,footprints/tssop/TSSOP-14.PcbLib,,
1016004-00-A,IC,IC SHIFT REGISTER 8BIT 16-SOIC,SN74HC165,Logic,74xx,-40C,125C,TI,SN74HC165QDRQ1,296-35928-1-ND,,,,,YES,74xx165,symbols/integrated_circuits/logic/74xx/74xx165.SchLib,SO 16,footprints/soic/SO 16.PcbLib,TSSOP-16,footprints/tssop/TSSOP-16.PcbLib,,
1016005-00-A,IC,IC MUX/DEMUX 8CH ANLG 16SOIC,74HC4051,Analog,Mux,-40C,125C,Nexperia,"74HC4051D-Q100,118",1727-1032-1-ND,,,,,YES,74xx4051,symbols/integrated_circuits/analog/mux/74xx4051.SchLib,SO 16,footprints/soic/SO 16.PcbLib,,,,
1016006-00-A,IC,IC OPAMP ISOLATION 1 CIRC 8SOIC,AMC1301D,Isolators,Analog,-40C,125C,TI,AMC1301DWVR,296-44577-1-ND,,,,,YES,AMC1301,symbols/integrated_circuits/isolators/analog/AMC1301.SchLib,SO 8 DWV,footprints/soic/SO 8 DWV.PcbLib,,,,
1016007-00-A,IC,IC CURR SENSE 1 CIRCUIT 16TSSOP,INA250A1Q,Sensors,Current,-40C,125C,TI,INA250A1QPWRQ1,296-46584-1-ND,,,,,YES,INA250,symbols/integrated_circuits/analog/sensors/INA250.SchLib,TSSOP-16,footprints/tssop/TSSOP-16.PcbLib,,,,
1016008-00-A,IC,DGTL ISO 3000VRMS 1CH 8SOIC,ISO7710F,Isolators,Analog,-40C,125C,TI,ISO7710FQDQ1,296-49653-ND,,,,,YES,ISO7710,symbols/integrated_circuits/isolators/analog/ISO7710.SchLib,SO 8 ISO,footprints/soic/SO 8 ISO.PcbLib,,,,
1016009-00-A,IC,IC QUAD DIFF COMPARATOR 14-SOIC,LM2901,Analog,Comparators,-40C,125C,TI,LM2901QDRQ1,296-17157-1-ND,,,,,YES,LM2901,symbols/integrated_circuits/analog/comparators/LM2901.SchLib,SO 14,footprints/soic/SO 14.PcbLib,,,,
1016010-00-A,IC,OR Controller N+1 ORing Controller N-Channel N:1 SOT-23-THIN,LM5050,Power,Protection,-40C,125C,TI,LM5050Q1MK-1/NOPB,296-40232-1-ND,,,,,YES,LM5050,symbols/integrated_circuits/power/LM5050.SchLib,SOT23-6,footprints/sot/SOT23-6.PcbLib,,,,
1016011-00-A,IC,IC REG BUCK ADJ 3A 16HTSSOP,LM53603,Power,DCDC,-40C,125C,TI,LM53603AMPWPT,296-45234-1-ND,,,,,YES,LM5360x,symbols/integrated_circuits/power/LM5360x.SchLib,TSSOP-16 - PowerPAD,footprints/tssop/TSSOP-16 - PowerPAD.PcbLib,,,,
1016012-00-A,IC,IC OPAMP GP 1 CIRCUIT 8SOIC,OPA348,Analog,Opamp,-40C,125C,TI,OPA348AQDRQ1,296-43343-1-ND,,,,,YES,GENERIC-1,symbols/integrated_circuits/analog/opamp/GENERIC-1.SchLib,SOT23-5,footprints/sot/SOT23-5.PcbLib,,,,
1016013-00-A,IC,IC VREF SERIES 0.05% SOT23-5,REF2030,Analog,Reference,-40C,125C,TI,REF2030AIDDCR,296-47351-1-ND,,,,,YES,REF20xx,symbols/integrated_circuits/analog/reference/REF20xx.SchLib,SOT23-5,footprints/sot/SOT23-5.PcbLib,,,,
1016014-00-A,IC,DGTL ISO 2.5KV GATE DRIVER 8SOIC,SI8271GB,Isolators,Digital,-40C,125C,Skyworks,SI8271GB-IS,336-3533-5-ND,,,,,YES,SI827x,symbols/integrated_circuits/isolators/digital/SI827x.SchLib,SO 8,footprints/soic/SO 8.PcbLib,,,,
1016015-00-A,IC,IC XFRMR DRVR NCH 350MA SOT23-5,SN6501,Power,DCDC,-40C,125C,TI,SN6501QDBVRQ1,296-36967-1-ND,,,,,YES,SN6501,symbols/integrated_circuits/power/SN6501.SchLib,SOT23-5,footprints/sot/SOT23-5.PcbLib,,,,
1016016-00-A,IC,SENSOR CURRENT HALL 50A AC/DC,CQ2064,Sensors,Current,-40C,90C,AKM,CQ2064,974-1091-5-ND,,,,,NO,CQ2064,symbols/integrated_circuits/analog/sensors/CQ2064.SchLib,CQ2234_FP,footprints/misc/CQ2234_FP.PcbLib,,,,
1016017-00-A,IC,IC COMPARATOR R-R HS SOT23-8,TLV3502,Analog,Comparators,-40C,125C,TI,TLV3502AQDCNRQ1,296-27407-1-ND,,,,,YES,TLV3502,symbols/integrated_circuits/analog/comparators/TLV3502.SchLib,SOT23-8,footprints/sot/SOT23-8.PcbLib,,,,
1016018-00-A,IC,IC REG LINEAR 5V 150MA SOT23-5,TPS76350,Power,DCDC,-40C,125C,TI,TPS76350QDBVRQ1,296-40961-1-ND,,,,,YES,TPS763xx,symbols/integrated_circuits/power/TPS763xx.SchLib,SOT23-5,footprints/sot/SOT23-5.PcbLib,,,,
1016019-00-A,IC,"PMIC - Full, Half-Bridge Drivers 56-VQFN (8x8)","DRV8714S-Q1",Power,Driver Mosfet,-40C,125C,TI,DRV8714SQRVJRQ1,296-DRV8714SQRVJRQ1CT-ND,,,,,Yes,DRV8714SQRVJRQ1,symbols/integrated_circuits/power/DRV8714SQRVJRQ1.SchLib,QFN50P800X800X100_HS-57N,footprints/qfn/QFN50P800X800X100_HS-57N.PcbLib,,,,
1016020-00-A,IC,2.5-A Single-Channel Smart High-Side Switch HTSSOP-14,TPS1HC100-Q1 ,Power,HS Switch,-40C,125C,TI,TPS1HC100BQPWPRQ1,,TI,PTPS1HC100BQPWPRQ1,,,Yes,TPS1HC100BQPWPRQ1,symbols/integrated_circuits/power/TPS1HC100BQPWPRQ1.SchLib,TSOP65P640X120_HS-15N,footprints/sop/TSOP65P640X120_HS-15N.PcbLib,,,,
1016021-00-A,IC,High Precision Current Sense Amplifier SC-70,INA280A2-Q1,Sensor,Current,-40C,125C,TI,INA280A2QDCKRQ1,296-INA280A2QDCKRQ1CT-ND,,,,,Yes,INA280A2QDCKRQ1,symbols/integrated_circuits/analog/sensors/INA280A2QDCKRQ1.SchLib,SOT65P210X110-5N,footprints/sot/SOT65P210X110-5N.PcbLib,,,,
