part_number,type,description,value,package,power,tolerance,temp_coefficient,temp_range_low,temp_range_high,manufacturer,manufacturer_part_number,digikey_part_number,supplier2,supplier2_part_number,supplier3,supplier3_part_number,aec_q,library_ref,library_path,footprint_ref,footprint_path,footprint2_ref,footprint2_path,footprint3_ref,footprint3_path
1012001-00-A,RES,Thick Film 100k 0.1W  ±5% 0402,100k,_0402,0.1W,5%,200ppm/C,-55C,155C,Panasonic,ERJ-2GEJ104X,P100KJCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0402-RES,footprints/passives_smd/SMD-0402-RES.PcbLib,,,,
1012002-00-A,RES,Thick Film 4.7k 0.1W  ±5% 0402,4.7k,_0402,0.1W,5%,200ppm/C,-55C,155C,Panasonic,ERJ-2GEJ472X,P4.7KJCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0402-RES,footprints/passives_smd/SMD-0402-RES.PcbLib,,,,
1012003-00-A,RES,Thick Film 11k 0.1W  ±1% 0402,11k,_0402,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-2RKF1102X,P11.0KLCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0402-RES,footprints/passives_smd/SMD-0402-RES.PcbLib,,,,
1012004-00-A,RES,Thick Film 620 0.1W  ±1% 0402,620,_0402,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-2RKF6200X,P620LCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0402-RES,footprints/passives_smd/SMD-0402-RES.PcbLib,,,,
1012005-00-A,RES,Thick Film 0.02 0.33W  ±1% 0603,0.02,_0603,0.33W,1%,250ppm/C,-55C,155C,Panasonic,ERJ-3BWFR020V,P17461CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
1012006-00-A,RES,Thick Film 1k 0.1W  ±1% 0603,1k,_0603,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-3EKF1001V,P1.00KHCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
1012007-00-A,RES,Thick Film 100k 0.1W  ±1% 0603,100k,_0603,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-3EKF1003V,P100KHCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
1012008-00-A,RES,Thick Film 2.4k 0.1W  ±1% 0603,2.4k,_0603,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-3EKF2401V,P2.40KHCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
1012009-00-A,RES,Thick Film 330k 0.1W  ±1% 0603,330k,_0603,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-3EKF3303V,P330KHCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120010-00-A,RES,Thick Film 620k 0.1W  ±1% 0603,620k,_0603,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-3EKF6203V,P620KHCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120011-00-A,RES,Thick Film 910k 0.1W  ±1% 0603,910k,_0603,0.1W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-3EKF9103V,P910KHCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120012-00-A,RES,Metal Element 0.003 3W  ±1% 2512,0.003,_2512,3W,1%,75ppm/C,-65C,170C,Panasonic,ERJ-MS4SF3M0U,P17091CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-2512-RES,footprints/passives_smd/SMD-2512-RES.PcbLib,,,,
10120013-00-A,RES,Thick Film 2k 0.1W  ±1% 0603,2k,_0603,0.1W,1%,100ppm/C,-55C,155C,Yageo,AC0603JR-072KL,YAG3659CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120014-00-A,RES,Thick Film 10k 0.1W  ±1% 0603,10k,_0603,0.1W,1%,50ppm/C,-55C,155C,Yageo,AT0603FRE0710KL,YAG2122CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120015-00-A,RES,Metal Element 300u 0.1W  ±1% 3921,0.0003,_3921,3W,1%,175ppm/C,-65C,170C,Vishay Dale,WSL3921L3000FEA,WSLM-.0003CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,RESC10052X05N,footprints/passives_smd/RESC10052X05N.PcbLib,,,,
10120016-00-A,RES,Metal Element 0.001 3W  ±1% 2512,0.001,_2512,3W,1%,75ppm/C,-65C,170C,Panasonic,ERJ-MS4SF1M0U,P17089CT-ND ,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-2512-RES,footprints/passives_smd/SMD-2512-RES.PcbLib,,,,
10120017-00-A,RES,Thick Film 10.2k 0.2W  ±0.1% 0603,10.2k,_0603,0.2W,0.1%,50ppm/C,-55C,155C,Panasonic,ERJ-PB3B1022V,P20087CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120018-00-A,RES,Thick Film 240k 0.1W  ±0.1% 0603,240k,_0603,0.1W,0.1%,25ppm/C,-55C,155C,Panasonic,ERA-3AEB244V,P240KDBCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120019-00-A,RES,Thick Film 210k 0.1W  ±0.1% 0603,210k,_0603,0.1W,0.1%,25ppm/C,-55C,155C,Panasonic,ERA-3AEB2103V,P210KDBCT-ND ,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120020-00-A,RES,Thick Film 30k 0.1W  ±0.1% 0603,30k,_0603,0.1W,0.1%,25ppm/C,-55C,155C,Panasonic,ERA-3AEB303V,P30KDBCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120021-00-A,RES,Thick Film 180k 0.1W  ±0.1% 0603,180k,_0603,0.1W,0.1%,25ppm/C,-55C,155C,Panasonic,ERA-3AEB184V,P180KDBCT-ND ,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-0603-RES,footprints/passives_smd/SMD-0603-RES.PcbLib,,,,
10120022-00-A,RES,Thick Film 0.062 0.5W  ±1% 1206,0.062,_1206,0.5W,1%,150ppm/C,-55C,155C,Rohm Semiconductor,UCR18EVHFSR062,RHM1320CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,RES_SMD1206_MD,footprints/passives_smd/RES_SMD1206_MD.PcbLib,,,,
10120023-00-A,RES,Metal Element 0.008 3W  ±1% 2512,0.008,_2512,3W,1%,50ppm/C,-55C,170C,Bourns,CRE2512-FZ-R008E-3,CRE2512-FZ-R008E-3CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-2512-RES,footprints/passives_smd/SMD-2512-RES.PcbLib,,,,
10120024-00-A,RES,Metal Element 0.007 3W  ±1% 2512,0.007,_2512,3W,1%,50ppm/C,-55C,170C,Bourns,CRE2512-FZ-R007E-3,CRE2512-FZ-R007E-3CT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,SMD-2512-RES,footprints/passives_smd/SMD-2512-RES.PcbLib,,,,
10120025-00-A,RES,Thick Film 60.4 0.25W  ±1% 1206,60.4,_1206,0.25W,1%,100ppm/C,-55C,155C,Panasonic,ERJ-8ENF60R4V,P60.4FCT-ND,,,,,YES,RES_FIXED,symbols/passives/RES_FIXED.Schlib,RES_SMD1206_MD,footprints/passives_smd/RES_SMD1206_MD.PcbLib,,,,
